bundle_id,stratum,task_id,family,regime
a3fbeb1e4ae199b7,strict_excess,delegated_docs_000:ADV_EFFECT:s13,delegated_docs,ADV_EFFECT
50dff1976846e292,strict_excess,delegated_docs_000:ADV_EFFECT:s13,delegated_docs,ADV_EFFECT
bb272ec9fcd8fbbe,strict_excess,delegated_docs_000:ADV_EFFECT:s47,delegated_docs,ADV_EFFECT
9ff58f0b3f6b1506,strict_excess,delegated_docs_000:ADV_EFFECT:s47,delegated_docs,ADV_EFFECT
4b9c6ef1603fac30,strict_excess,delegated_docs_000:CONCAT:s13,delegated_docs,CONCAT
a6505b1395e30326,strict_excess,delegated_docs_000:CONCAT:s13,delegated_docs,CONCAT
74dd715cb72e927b,strict_excess,delegated_docs_000:CONCAT:s13,delegated_docs,CONCAT
313c5a1383dd8a19,strict_excess,delegated_docs_000:CONCAT:s47,delegated_docs,CONCAT
562b9a0530b9c69d,strict_excess,delegated_docs_000:CONCAT:s47,delegated_docs,CONCAT
01bd4133ff2c0a96,strict_excess,delegated_docs_000:CONCAT:s47,delegated_docs,CONCAT
d3ac5c45c2276f44,strict_excess,delegated_docs_000:FULL:s13,delegated_docs,FULL
c2acb4e96d7d833d,strict_excess,delegated_docs_000:FULL:s13,delegated_docs,FULL
49034aa2ca029cdc,strict_excess,delegated_docs_000:FULL:s13,delegated_docs,FULL
808252279e17ed2f,strict_excess,delegated_docs_000:FULL:s47,delegated_docs,FULL
28459e46f6e110ee,strict_excess,delegated_docs_000:FULL:s47,delegated_docs,FULL
5a18f7aec71bc589,strict_excess,delegated_docs_000:FULL:s47,delegated_docs,FULL
bcd7c2eee9993515,strict_excess,delegated_docs_000:MEMORY_REVISE:s13,delegated_docs,MEMORY_REVISE
617c2fbc8cb96354,strict_excess,delegated_docs_000:MEMORY_REVISE:s13,delegated_docs,MEMORY_REVISE
e35d5a6b8848cd6b,strict_excess,delegated_docs_000:MEMORY_REVISE:s47,delegated_docs,MEMORY_REVISE
3dc74724a1bdb847,strict_excess,delegated_docs_000:MEMORY_REVISE:s47,delegated_docs,MEMORY_REVISE
8fdf2d49c2662bcc,strict_excess,delegated_docs_000:REVISE:s13,delegated_docs,REVISE
60afc59d8173f677,strict_excess,delegated_docs_000:REVISE:s47,delegated_docs,REVISE
e4903fba71f96367,strict_excess,delegated_docs_000:SHARDED:s13,delegated_docs,SHARDED
7ca4affbedc7c342,strict_excess,delegated_docs_000:SHARDED:s13,delegated_docs,SHARDED
b7c00feaf3f76150,strict_excess,delegated_docs_000:SHARDED:s13,delegated_docs,SHARDED
fe9feefba138d094,strict_excess,delegated_docs_000:SHARDED:s47,delegated_docs,SHARDED
02cc0a12be342ebe,strict_excess,delegated_docs_000:SHARDED:s47,delegated_docs,SHARDED
75f33a3c789f2a1d,strict_excess,delegated_docs_000:SHARDED:s47,delegated_docs,SHARDED
2c9c092acf3ccaec,strict_excess,delegated_docs_001:ADV_EFFECT:s13,delegated_docs,ADV_EFFECT
65118da9d14da5be,strict_excess,delegated_docs_001:ADV_EFFECT:s13,delegated_docs,ADV_EFFECT
5691010a0d6f1129,strict_excess,delegated_docs_001:ADV_EFFECT:s47,delegated_docs,ADV_EFFECT
eac5becd5d6f71c8,strict_excess,delegated_docs_001:ADV_EFFECT:s47,delegated_docs,ADV_EFFECT
5cc835e9f65fe898,strict_excess,delegated_docs_001:CONCAT:s13,delegated_docs,CONCAT
f3cbfb32f794fb39,strict_excess,delegated_docs_001:CONCAT:s13,delegated_docs,CONCAT
4709298c610a79e5,strict_excess,delegated_docs_001:CONCAT:s13,delegated_docs,CONCAT
c9e4b84b60e99429,strict_excess,delegated_docs_001:CONCAT:s13,delegated_docs,CONCAT
b75c9eb8106156c0,strict_excess,delegated_docs_001:CONCAT:s13,delegated_docs,CONCAT
e79fa6e6bf3bfcdd,strict_excess,delegated_docs_001:CONCAT:s47,delegated_docs,CONCAT
c4e9fd4f2a193d1d,strict_excess,delegated_docs_001:CONCAT:s47,delegated_docs,CONCAT
f4b0cdb8b48a0262,strict_excess,delegated_docs_001:CONCAT:s47,delegated_docs,CONCAT
2a435718573e79b9,strict_excess,delegated_docs_001:CONCAT:s47,delegated_docs,CONCAT
e8ebab3f6098517e,strict_excess,delegated_docs_001:CONCAT:s47,delegated_docs,CONCAT
636e6d1d6fe81053,strict_excess,delegated_docs_001:FULL:s13,delegated_docs,FULL
28ed877984409ac7,strict_excess,delegated_docs_001:FULL:s13,delegated_docs,FULL
5cd40d17c3e84c14,strict_excess,delegated_docs_001:FULL:s13,delegated_docs,FULL
3a37c418cd9c8a9f,strict_excess,delegated_docs_001:FULL:s13,delegated_docs,FULL
25c7b6704fb47a1d,strict_excess,delegated_docs_001:FULL:s13,delegated_docs,FULL
a168af3cfb9d527b,strict_excess,delegated_docs_001:FULL:s47,delegated_docs,FULL
5cd59970246efd03,strict_excess,delegated_docs_001:FULL:s47,delegated_docs,FULL
584322c43e7978b8,strict_excess,delegated_docs_001:FULL:s47,delegated_docs,FULL
3c7e4e42524e22bc,strict_excess,delegated_docs_001:FULL:s47,delegated_docs,FULL
090bf76aa52bd3c2,strict_excess,delegated_docs_001:FULL:s47,delegated_docs,FULL
5c3d9ccb6bb6b0b4,strict_excess,delegated_docs_001:MEMORY_REVISE:s13,delegated_docs,MEMORY_REVISE
682d8604c0d2abf7,strict_excess,delegated_docs_001:MEMORY_REVISE:s13,delegated_docs,MEMORY_REVISE
e03bdf60544d6560,strict_excess,delegated_docs_001:MEMORY_REVISE:s13,delegated_docs,MEMORY_REVISE
ee6fd4c0e924528b,strict_excess,delegated_docs_001:MEMORY_REVISE:s47,delegated_docs,MEMORY_REVISE
