baseline,reason,count,rate_among_successes
FINAL_STATE,accepted,21504,1.0
CORE_DFA,accepted,21504,1.0
MINISCOPE_PERMISSION,accepted,20778,0.9662388392857143
MINISCOPE_PERMISSION,linked_or_third_party_data_scope,726,0.03376116071428571
CONTRACT_MENU_CMTF,accepted,20413,0.9492652529761905
CONTRACT_MENU_CMTF,avoidable_external_notification,705,0.03278459821428571
CONTRACT_MENU_CMTF,contract_artifact_not_preserved,368,0.01711309523809524
CONTRACT_MENU_CMTF,external_exposure_policy_violation,18,0.0008370535714285714
REVISABILITY,accepted,20778,0.9662388392857143
REVISABILITY,irreversible_or_external_effect,705,0.03278459821428571
REVISABILITY,broad_write_without_staging,15,0.0006975446428571429
REVISABILITY,risky_regime_high_commit,6,0.00027901785714285713
MODERNSTACK_PROJECTION,accepted,19937,0.9271298363095238
MODERNSTACK_PROJECTION,miniscope_permission:linked_or_third_party_data_scope,726,0.03376116071428571
MODERNSTACK_PROJECTION,missing_target_confirmation,445,0.020693824404761904
MODERNSTACK_PROJECTION,contract_menu_cmtf:contract_artifact_not_preserved,368,0.01711309523809524
MODERNSTACK_PROJECTION,unparsed_model_proposal,28,0.0013020833333333333
KERNEL_FULL,accepted,17415,0.8098493303571429
KERNEL_FULL,kernel_strict_excess,4089,0.19015066964285715
