split,role,exclusion_type,dropped_value,system,trajectories,terminal_successes,raw_success_rate,strict_excess,strict_excess_per_success,minimal,minimal_with_incomparables,kernel_successes,kernel_success_per_success,kernel_success_rate_all_trajectories
main_controlled_legacy_guards,main_gap_reference,none,all,BASE,7168,7168,1.0,4086,0.5700334821428571,2852,230,3082,0.42996651785714285,0.42996651785714285
main_controlled_legacy_guards,main_gap_reference,none,all,EFFECTGUARD,7168,7168,1.0,0,0.0,7168,0,7168,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,none,all,PROJ_GUARD,7168,7168,1.0,3,0.0004185267857142857,7165,0,7165,0.9995814732142857,0.9995814732142857
main_controlled_legacy_guards,main_gap_reference,drop_model,gemma3_27b_it_local,BASE,5376,5376,1.0,3182,0.5918898809523809,2066,128,2194,0.40811011904761907,0.40811011904761907
main_controlled_legacy_guards,main_gap_reference,drop_model,gemma3_27b_it_local,EFFECTGUARD,5376,5376,1.0,0,0.0,5376,0,5376,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,drop_model,gemma3_27b_it_local,PROJ_GUARD,5376,5376,1.0,3,0.0005580357142857143,5373,0,5373,0.9994419642857143,0.9994419642857143
main_controlled_legacy_guards,main_gap_reference,drop_model,llama3_3_70b_awq_local,BASE,5376,5376,1.0,2866,0.5331101190476191,2280,230,2510,0.46688988095238093,0.46688988095238093
main_controlled_legacy_guards,main_gap_reference,drop_model,llama3_3_70b_awq_local,EFFECTGUARD,5376,5376,1.0,0,0.0,5376,0,5376,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,drop_model,llama3_3_70b_awq_local,PROJ_GUARD,5376,5376,1.0,3,0.0005580357142857143,5373,0,5373,0.9994419642857143,0.9994419642857143
main_controlled_legacy_guards,main_gap_reference,drop_model,mistral_small_3_2_24b_local,BASE,5376,5376,1.0,2888,0.5372023809523809,2258,230,2488,0.46279761904761907,0.46279761904761907
main_controlled_legacy_guards,main_gap_reference,drop_model,mistral_small_3_2_24b_local,EFFECTGUARD,5376,5376,1.0,0,0.0,5376,0,5376,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,drop_model,mistral_small_3_2_24b_local,PROJ_GUARD,5376,5376,1.0,0,0.0,5376,0,5376,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,drop_model,qwen3_6_35b_a3b_local,BASE,5376,5376,1.0,3322,0.6179315476190477,1952,102,2054,0.3820684523809524,0.3820684523809524
main_controlled_legacy_guards,main_gap_reference,drop_model,qwen3_6_35b_a3b_local,EFFECTGUARD,5376,5376,1.0,0,0.0,5376,0,5376,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,drop_model,qwen3_6_35b_a3b_local,PROJ_GUARD,5376,5376,1.0,3,0.0005580357142857143,5373,0,5373,0.9994419642857143,0.9994419642857143
main_controlled_legacy_guards,main_gap_reference,drop_family,delegated_docs,BASE,6272,6272,1.0,3556,0.5669642857142857,2486,230,2716,0.4330357142857143,0.4330357142857143
main_controlled_legacy_guards,main_gap_reference,drop_family,delegated_docs,EFFECTGUARD,6272,6272,1.0,0,0.0,6272,0,6272,1.0,1.0
main_controlled_legacy_guards,main_gap_reference,drop_family,delegated_docs,PROJ_GUARD,6272,6272,1.0,3,0.00047831632653061223,6269,0,6269,0.9995216836734694,0.9995216836734694
