path,size_bytes,sha256
CommitBench.pdf,786361,8723c2f4d9276ad190a73c22dd1337f807bc47ba483d65dcf5d30c085211b7a3
effectbench_omega/artifacts/git_lfs_version.txt,47,adab14f5cb801c8a7a9d715e354dc4fd1901ce15baa0a499e1d5bb75aace827d
effectbench_omega/artifacts/local_open_model_cache.json,3365,aa25cc2586c593f24412f5887386b9df91cacb40a92d8b2d91d9dc498bbb83aa
effectbench_omega/artifacts/local_qwen_cache.json,580,8686c13d3d98da397cdaaaee50a8cf5bc4a39af0bdf9ea4f649342fca10e2d0d
effectbench_omega/artifacts/python_version.txt,15,b1d173e941dbfa8bbabe0c832c75d9449f31942f882d76510e027fa02de2cae0
effectbench_omega/artifacts/repo_versions.json,1279,2260517e84f83fb0c04dc8b7d148c18bceb1b54358ea12f2a8f36dcd3916e90d
effectbench_omega/artifacts/requirements.lock.txt,4613,b767cd6b39f0bc098143981b1cd6a5b983775eb3343dd6e356f7331e4095476d
effectbench_omega/figures/guard_v2_main_with_base_all_local_canonical/online_control_outcomes.pdf,15487,17f2c92fa61252fffae1cb574047fd0b3494b1138207cabb94a51be7c287ea86
effectbench_omega/figures/guard_v2_main_with_base_all_local_canonical/online_control_outcomes.png,32800,d8bbd303306789052d12685ef9479a27e151cd05ca897906d31e0582a0043931
effectbench_omega/figures/guard_v2_main_with_base_all_local_canonical/projection_loss.pdf,15344,fb4f2d715dcdaf0383ea3247c37189b912bd0de08326659f37496cea6ddc49ed
effectbench_omega/figures/guard_v2_main_with_base_all_local_canonical/projection_loss.png,40324,14e4f1346beb98ce6abd9d72bd790331e0015dbcf8c578ac038c02b7ea785bcb
effectbench_omega/figures/guard_v2_main_with_base_all_local_canonical/strict_excess_family_regime.pdf,26916,fe0b4798f21e770a712826192731aeb8d3574e54e96c98bdcf518aaeefc2435b
effectbench_omega/figures/guard_v2_main_with_base_all_local_canonical/strict_excess_family_regime.png,123823,906ebd0d8a438e40b6ff9508255d29da6178cc2050a8fdfd424bd3cddeebc4e1
effectbench_omega/figures/main_mc_postfix_all_local/online_control_outcomes.pdf,15300,c96e899432b783c9c446e6f9f9883b1d84e457075d1a99237b3d75b616e5ac2d
effectbench_omega/figures/main_mc_postfix_all_local/online_control_outcomes.png,31331,09fa93dde9236a7501265bf3d3c0d8a8cdd31598052fa066b40ccc341f8a9f35
effectbench_omega/figures/main_mc_postfix_all_local/projection_loss.pdf,15404,c12d4ae7a1e777eaf5409ea6dd992557238d707613e41282c1efe212e7a6d1c9
effectbench_omega/figures/main_mc_postfix_all_local/projection_loss.png,40813,328d8f21b3765356f3ccdc5edb2a8c22a67566d8ff7c0484693b1da30eda2368
effectbench_omega/figures/main_mc_postfix_all_local/strict_excess_family_regime.pdf,27453,51a6e1f57c1409e37cf26bc9684c454a1d3bef99e05eee8d554014af49503ece
effectbench_omega/figures/main_mc_postfix_all_local/strict_excess_family_regime.png,124898,9ad2158691be0387c9e5db5597c4b8ea32be5c889250d73a8b30d4537fe391b2
effectbench_omega/figures/main_mc_postfix_all_local_canonical/online_control_outcomes.pdf,15287,df29e73787a68264bd8184dc004b7dd3d24ceaa4d217eb3320aa02f8df8d5793
effectbench_omega/figures/main_mc_postfix_all_local_canonical/online_control_outcomes.png,31284,5973a3d78fff7220ffb9e42bdf06e1fd0e2b36241c0348e66dbd4df5fe5b21b9
effectbench_omega/figures/main_mc_postfix_all_local_canonical/projection_loss.pdf,15813,ff2274921faf761b418d60246cf83f9cfa604f69a697a8c445006aa29de3b8f2
effectbench_omega/figures/main_mc_postfix_all_local_canonical/projection_loss.png,43122,70fb22c54dee9ee1e877be5903f2c8b3dbc79b07716015d079577a5ce6b5bc81
effectbench_omega/figures/main_mc_postfix_all_local_canonical/strict_excess_family_regime.pdf,26073,fcb399d37c1b5a7fd51bd0275b6e03bb8b5536b1f8a779c2bf4848ecd1007331
effectbench_omega/figures/main_mc_postfix_all_local_canonical/strict_excess_family_regime.png,118859,3fc9b3b36bb35bf41d97adc0d5bde1c979b585ac751b3d9a05fcca8729752f80
effectbench_omega/figures/native_subset_v1_all_local_canonical/online_control_outcomes.pdf,15474,89cf282f22277e9be53f9c6483e33c1088826f6b1fabca5fec34149921ffeaad
effectbench_omega/figures/native_subset_v1_all_local_canonical/online_control_outcomes.png,32757,d9262dae5ad5d5c609324b9cfb8599e21d6bdd98dafbb7d26303e556cc9a51c4
effectbench_omega/figures/native_subset_v1_all_local_canonical/projection_loss.pdf,15794,8203ab1b5bd7c5c872d993d65071d31c22eeda456cf4d4bee8c1399785b2cb18
effectbench_omega/figures/native_subset_v1_all_local_canonical/projection_loss.png,43336,572fee305b2faf2fa60647f864af57c09b83f7613793fc2ab130dfb719344bdf
effectbench_omega/figures/native_subset_v1_all_local_canonical/strict_excess_family_regime.pdf,25430,14a85563dafc662cc14daf298f7c868b854b0477b59a0ab4de2f1a056d9a79ed
effectbench_omega/figures/native_subset_v1_all_local_canonical/strict_excess_family_regime.png,105865,49687b89f46e0e62f4aa8cd7247a2db2118fcee66db48d02861cf4ba08370730
effectbench_omega/jobs/local_open_20260622T112519Z/events.tsv,30,6c319ccf1cf774cd30709e55ecdd0f341a5c37c357a9177ffa2e2b2fbe18a698
effectbench_omega/jobs/local_open_20260622T112519Z/job.env,274,608855c4d91538f42d5531fc9e964d33eb7482191f810436e6ee750ad806e6be
effectbench_omega/jobs/local_open_20260622T112519Z/logs/install_mistral_vllm_shim.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
effectbench_omega/jobs/local_open_20260622T112519Z/queue.pid,8,00380c6e24ee5694c11ab306f02651b07dcfbe6639d0016be85bee521692bcc9
effectbench_omega/jobs/local_open_20260622T112557Z/current_detail,106,2b72b69a0b7b79a383db30922bf95318901a03bd3a13f7d7f1e8665f806f59f1
effectbench_omega/jobs/local_open_20260622T112557Z/current_model,6,fc4a745a3e8cbe80d563175635d46d93af94bfd98cd378bef6f1e1fd824fbaf3
effectbench_omega/jobs/local_open_20260622T112557Z/current_status,8,eff64b343dcb2b1dc113648e7089b9ce9f8a7f6c7808a03a2cffb4ad7302f606
effectbench_omega/jobs/local_open_20260622T112557Z/events.tsv,171,2f1a04e7780b975ab335b0cbf16e6c54f1c197e18bb42ac34cd5319bab460f04
effectbench_omega/jobs/local_open_20260622T112557Z/job.env,274,3c87fee016c9681847887219d96e164cfd40c92044cdb8a2206469e0c8921244
effectbench_omega/jobs/local_open_20260622T112557Z/logs/install_mistral_vllm_shim.log,86,a2b5d4a4bd07c32445bf0f515c04a53875b4ebb371ad9977818479fa1f0701b5
effectbench_omega/jobs/local_open_20260622T112557Z/queue.pid,8,601f511950a95564270f0a615214f8f8c82c6139f16d23f36350f2ff1bba3535
effectbench_omega/jobs/local_open_20260622T112621Z/current_detail,138,750e5f46810365ab2b9636f37f0bbdd130a9a7b27636d773dd57f3068cb50046
effectbench_omega/jobs/local_open_20260622T112621Z/current_model,28,683c47322e00eea7c00027c8c81bcd793bd6dea7bbcd5d68a4657860943c8dba
effectbench_omega/jobs/local_open_20260622T112621Z/current_status,10,cac225d878ee9cbe6935ce59fda44cea7925191cdb0d40d945f2eaeba426aa50
effectbench_omega/jobs/local_open_20260622T112621Z/events.tsv,368,6fea054339426913981b14fabdefb37930529563a269419bbdcedb6a73efb954
effectbench_omega/jobs/local_open_20260622T112621Z/job.env,274,ad57081cd45f10e8504f6f8aabf89bf54dfdb09a2bc3c024cc0da4e722992dd4
effectbench_omega/jobs/local_open_20260622T112621Z/logs/install_mistral_vllm_shim.log,86,a2b5d4a4bd07c32445bf0f515c04a53875b4ebb371ad9977818479fa1f0701b5
effectbench_omega/jobs/local_open_20260622T112621Z/logs/mistral_small_3_2_24b_local_vllm.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
effectbench_omega/jobs/local_open_20260622T112621Z/mistral_small_3_2_24b_local_vllm.pid,8,5aa59e3de77d1c2859f5ec0fe97bd89690f45951c0ee9adbd8421983afc3954b
effectbench_omega/jobs/local_open_20260622T112621Z/queue.pid,8,7bd4d41be050210e789591665e1bf514d452eee04313ef0432d22e39a259c2a2
effectbench_omega/jobs/local_open_20260622T113048Z/current_detail,138,1f12ff313ffd7e51c94c5e0839f2e141790e0c492fa0b6aaa381385aaa114368
effectbench_omega/jobs/local_open_20260622T113048Z/current_model,28,683c47322e00eea7c00027c8c81bcd793bd6dea7bbcd5d68a4657860943c8dba
effectbench_omega/jobs/local_open_20260622T113048Z/current_status,10,cac225d878ee9cbe6935ce59fda44cea7925191cdb0d40d945f2eaeba426aa50
effectbench_omega/jobs/local_open_20260622T113048Z/events.tsv,368,413fac16b3928ae5c3dec30ebfab5e3c4b11c6bc09c2db0d198572dac4bcbf58
effectbench_omega/jobs/local_open_20260622T113048Z/job.env,274,5b00886470692810d3d9daf1b7263ef417fb463cc73c095fcd225207d58460bf
effectbench_omega/jobs/local_open_20260622T113048Z/logs/install_mistral_vllm_shim.log,86,a2b5d4a4bd07c32445bf0f515c04a53875b4ebb371ad9977818479fa1f0701b5
effectbench_omega/jobs/local_open_20260622T113048Z/logs/mistral_small_3_2_24b_local_vllm.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
effectbench_omega/jobs/local_open_20260622T113048Z/mistral_small_3_2_24b_local_vllm.pid,8,f50cbe8df9875c0756278e455eb432b84389185e01e93c40f075b749bd5c6134
effectbench_omega/jobs/local_open_20260622T113048Z/queue.pid,8,4fabe5ecf8755de04176a67476ca0a4a4eb49d33f30a06af12ff7c74306e5ff9
effectbench_omega/jobs/local_open_20260622T113253Z/current_detail,29,800123678f8b18b8e14d5dcc3591a33363fb5206ae0fcf3e4513604522488571
effectbench_omega/jobs/local_open_20260622T113253Z/current_model,20,74f6d687b066250f5df097bed5c5560e6188b554b8610d071820d81b192cce91
effectbench_omega/jobs/local_open_20260622T113253Z/current_status,7,6da5b18878e110928643ebcc38dbb7552cf3a296eea56493e23edc2b93eecff8
effectbench_omega/jobs/local_open_20260622T113253Z/events.tsv,6822,0b2f64b7a9b860cc07962fad62438be3a3351011219958839164ea047df6e280
effectbench_omega/jobs/local_open_20260622T113253Z/gemma3_27b_it_local_endpoint_smoke.json,142,71ef98cec0c05e864f668bd063de1e554e4c5a801489488732854f4ddb5f63e7
effectbench_omega/jobs/local_open_20260622T113253Z/gemma3_27b_it_local_vllm.pid,8,a470e9c47eb7abdb8af1c281c8c857eeff32f740abaf5fde58e28d932cc4a9a9
