split,role,exclusion_type,dropped_value,base_gap_pp,base_gap_ge_10pp,projection_residual_strict_rate,projection_residual_nonzero,effectguard_strict_rate,effectguard_zero_strict,effectguard_raw_retention_vs_base,effectguard_retains_ge_90pct_base_raw,projection_required
main_controlled_legacy_guards,main_gap_reference,none,all,57.00334821428571,True,0.0004185267857142857,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_model,gemma3_27b_it_local,59.188988095238095,True,0.0005580357142857143,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_model,llama3_3_70b_awq_local,53.311011904761905,True,0.0005580357142857143,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_model,mistral_small_3_2_24b_local,53.720238095238095,True,0.0,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_model,qwen3_6_35b_a3b_local,61.793154761904766,True,0.0005580357142857143,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_family,delegated_docs,56.69642857142857,True,0.00047831632653061223,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_family,tau_airline,55.598958333333336,True,0.0005580357142857143,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_family,tau_retail,57.235863095238095,True,0.0005580357142857143,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_family,telecom,55.078125,True,0.0,not_required,0.0,True,1.0,True,False
main_controlled_legacy_guards,main_gap_reference,drop_family,toolsandbox_contract,59.964923469387756,True,0.00047831632653061223,not_required,0.0,True,1.0,True,False
corrected_guard_v2,corrected_online_guard,none,all,57.00334821428571,True,0.0732421875,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_model,gemma3_27b_it_local,59.188988095238095,True,0.09728422619047619,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_model,llama3_3_70b_awq_local,53.311011904761905,True,0.09654017857142858,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_model,mistral_small_3_2_24b_local,53.720238095238095,True,0.08630952380952381,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_model,qwen3_6_35b_a3b_local,61.793154761904766,True,0.012834821428571428,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_family,delegated_docs,56.69642857142857,True,0.0663265306122449,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_family,tau_airline,55.598958333333336,True,0.06677827380952381,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_family,tau_retail,57.235863095238095,True,0.08128720238095238,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_family,telecom,55.078125,True,0.06752232142857142,True,0.0,True,1.0,True,True
corrected_guard_v2,corrected_online_guard,drop_family,toolsandbox_contract,59.964923469387756,True,0.08370535714285714,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,none,all,57.00334821428571,True,0.09165736607142858,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_model,gemma3_27b_it_local,59.188988095238095,True,0.12220982142857142,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_model,llama3_3_70b_awq_local,53.311011904761905,True,0.12109375,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_model,mistral_small_3_2_24b_local,53.720238095238095,True,0.11011904761904762,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_model,qwen3_6_35b_a3b_local,61.793154761904766,True,0.013206845238095238,True,0.0,True,1.0,True,True
