comparison,method,estimate,ci_low,ci_high,n_bootstrap,n_units,held_out
base_raw_minus_kernel,leave_one_model,0.5797991071428571,,,0,5376,gemma3_27b_it_local
base_raw_minus_kernel,leave_one_model,0.5165550595238095,,,0,5376,llama3_3_70b_awq_local
base_raw_minus_kernel,leave_one_model,0.53125,,,0,5376,mistral_small_3_2_24b_local
base_raw_minus_kernel,leave_one_model,0.6207217261904762,,,0,5376,qwen3_6_35b_a3b_local
base_raw_minus_kernel,leave_one_family,0.5583545918367347,,,0,6272,delegated_docs
base_raw_minus_kernel,leave_one_family,0.5379464285714286,,,0,5376,tau_airline
base_raw_minus_kernel,leave_one_family,0.5654761904761905,,,0,5376,tau_retail
base_raw_minus_kernel,leave_one_family,0.5533854166666666,,,0,5376,telecom
base_raw_minus_kernel,leave_one_family,0.5910395408163265,,,0,6272,toolsandbox_contract
base_raw_minus_kernel,leave_one_regime,0.5431315104166666,,,0,6144,ADV_EFFECT
base_raw_minus_kernel,leave_one_regime,0.5196940104166666,,,0,6144,CONCAT
base_raw_minus_kernel,leave_one_regime,0.5048828125,,,0,6144,FULL
base_raw_minus_kernel,leave_one_regime,0.6140950520833334,,,0,6144,MEMORY_REVISE
base_raw_minus_kernel,leave_one_regime,0.5887044270833334,,,0,6144,REVISE
base_raw_minus_kernel,leave_one_regime,0.5159505208333334,,,0,6144,SHARDED
base_raw_minus_kernel,leave_one_regime,0.6481119791666666,,,0,6144,SNOWBALL
base_minus_proj_strict,leave_one_model,0.46651785714285715,,,0,5376,gemma3_27b_it_local
base_minus_proj_strict,leave_one_model,0.40401785714285715,,,0,5376,llama3_3_70b_awq_local
base_minus_proj_strict,leave_one_model,0.42745535714285715,,,0,5376,mistral_small_3_2_24b_local
base_minus_proj_strict,leave_one_model,0.6104910714285714,,,0,5376,qwen3_6_35b_a3b_local
base_minus_proj_strict,leave_one_family,0.4815051020408163,,,0,6272,delegated_docs
base_minus_proj_strict,leave_one_family,0.46484375,,,0,5376,tau_airline
base_minus_proj_strict,leave_one_family,0.4689360119047619,,,0,5376,tau_retail
base_minus_proj_strict,leave_one_family,0.4728422619047619,,,0,5376,telecom
base_minus_proj_strict,leave_one_family,0.49394132653061223,,,0,6272,toolsandbox_contract
base_minus_proj_strict,leave_one_regime,0.4459635416666667,,,0,6144,ADV_EFFECT
base_minus_proj_strict,leave_one_regime,0.4337565104166667,,,0,6144,CONCAT
base_minus_proj_strict,leave_one_regime,0.43115234375,,,0,6144,FULL
base_minus_proj_strict,leave_one_regime,0.5423177083333334,,,0,6144,MEMORY_REVISE
base_minus_proj_strict,leave_one_regime,0.5065104166666666,,,0,6144,REVISE
base_minus_proj_strict,leave_one_regime,0.4298502604166667,,,0,6144,SHARDED
base_minus_proj_strict,leave_one_regime,0.55029296875,,,0,6144,SNOWBALL
proj_minus_effectguard_strict,leave_one_model,0.11328125,,,0,5376,gemma3_27b_it_local
proj_minus_effectguard_strict,leave_one_model,0.11253720238095238,,,0,5376,llama3_3_70b_awq_local
proj_minus_effectguard_strict,leave_one_model,0.10379464285714286,,,0,5376,mistral_small_3_2_24b_local
proj_minus_effectguard_strict,leave_one_model,0.010230654761904762,,,0,5376,qwen3_6_35b_a3b_local
proj_minus_effectguard_strict,leave_one_family,0.07684948979591837,,,0,6272,delegated_docs
proj_minus_effectguard_strict,leave_one_family,0.07310267857142858,,,0,5376,tau_airline
proj_minus_effectguard_strict,leave_one_family,0.09654017857142858,,,0,5376,tau_retail
proj_minus_effectguard_strict,leave_one_family,0.08054315476190477,,,0,5376,telecom
proj_minus_effectguard_strict,leave_one_family,0.09709821428571429,,,0,6272,toolsandbox_contract
proj_minus_effectguard_strict,leave_one_regime,0.09716796875,,,0,6144,ADV_EFFECT
proj_minus_effectguard_strict,leave_one_regime,0.0859375,,,0,6144,CONCAT
proj_minus_effectguard_strict,leave_one_regime,0.07373046875,,,0,6144,FULL
proj_minus_effectguard_strict,leave_one_regime,0.07177734375,,,0,6144,MEMORY_REVISE
proj_minus_effectguard_strict,leave_one_regime,0.08219401041666667,,,0,6144,REVISE
proj_minus_effectguard_strict,leave_one_regime,0.08610026041666667,,,0,6144,SHARDED
proj_minus_effectguard_strict,leave_one_regime,0.09781901041666667,,,0,6144,SNOWBALL
effectguard_kernel_minus_base_kernel,leave_one_model,0.5797991071428571,,,0,5376,gemma3_27b_it_local
effectguard_kernel_minus_base_kernel,leave_one_model,0.5165550595238095,,,0,5376,llama3_3_70b_awq_local
effectguard_kernel_minus_base_kernel,leave_one_model,0.53125,,,0,5376,mistral_small_3_2_24b_local
effectguard_kernel_minus_base_kernel,leave_one_model,0.6207217261904762,,,0,5376,qwen3_6_35b_a3b_local
effectguard_kernel_minus_base_kernel,leave_one_family,0.5583545918367347,,,0,6272,delegated_docs
effectguard_kernel_minus_base_kernel,leave_one_family,0.5379464285714286,,,0,5376,tau_airline
effectguard_kernel_minus_base_kernel,leave_one_family,0.5654761904761905,,,0,5376,tau_retail
effectguard_kernel_minus_base_kernel,leave_one_family,0.5533854166666666,,,0,5376,telecom
effectguard_kernel_minus_base_kernel,leave_one_family,0.5910395408163265,,,0,6272,toolsandbox_contract
effectguard_kernel_minus_base_kernel,leave_one_regime,0.5431315104166666,,,0,6144,ADV_EFFECT
effectguard_kernel_minus_base_kernel,leave_one_regime,0.5196940104166666,,,0,6144,CONCAT
effectguard_kernel_minus_base_kernel,leave_one_regime,0.5048828125,,,0,6144,FULL
effectguard_kernel_minus_base_kernel,leave_one_regime,0.6140950520833334,,,0,6144,MEMORY_REVISE
effectguard_kernel_minus_base_kernel,leave_one_regime,0.5887044270833334,,,0,6144,REVISE
effectguard_kernel_minus_base_kernel,leave_one_regime,0.5159505208333334,,,0,6144,SHARDED
effectguard_kernel_minus_base_kernel,leave_one_regime,0.6481119791666666,,,0,6144,SNOWBALL
