claim_id,value,source,status,notes
headline_trace_count,4217.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_model_count,4.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_system_count,3.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_regime_count,4.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_family_count,4.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_seed_count,2.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_count,848.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_rate,0.20109082285985297,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_kernel_success_rate,0.798909177140147,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_trajectory_count,1253.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_raw_success,1.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_strict_excess_rate,0.6767757382282522,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_kernel_success,0.3232242617717478,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_trajectory_count,1536.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_raw_success,1.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_strict_excess_rate,0.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_kernel_success,1.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_trajectory_count,1428.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_raw_success,1.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_strict_excess_rate,0.0,effectbench_omega/outputs/native_subset_v1_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
