claim_id,value,source,status,notes
headline_trace_count,21504.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_model_count,4.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_system_count,3.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_regime_count,7.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_family_count,5.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
headline_seed_count,2.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_count,4611.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_strict_excess_rate,0.21442522321428573,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
overall_kernel_success_rate,0.7855747767857143,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_trajectory_count,7168.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_raw_success,1.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_strict_excess_rate,0.5700334821428571,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
base_kernel_success,0.42996651785714285,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_trajectory_count,7168.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_raw_success,1.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_strict_excess_rate,0.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
effectguard_v2_kernel_success,1.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
proj_guard_v2_trajectory_count,7168.0,effectbench_omega/outputs/guard_v2_main_with_base_all_local/kernel_canonical/certificates_enumerated.parquet,computed,
